,text,lang,country,Source,Location,Name,Screen_Name,URL,Geo_enabled,Negative,Neutral,Positive,Compound
0,RT @sagarikaghose: He failed the exam by 8 marks but examiners declared him “passed” in the hope he will bring them more marks in 15 days.…,English,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Indian ahmed,aqs101,,False,0.204,0.617,0.179,-0.1027
1,"RT @Manmohantweets_: ?? ????, ??????, ??????, ????? ?? ????????? ??? ????? ???? ?? ??? ?????? ?? ????? ?? ????? ??? ?? ?? ??? ????????? ???…",Hindi,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Varanasi, India",avanish maurya,avanishkumarm12,,False,0.0,1.0,0.0,0.0
2,"RT @imaheshgupta: ??????? ?? ??? ??????? ??? ????????? ??????? ?? ?????? ???? ??? ?? ??? ??? ??? ?? ?????  ????? ?? ??? ??? ??!! ?

@Tajind…",Hindi,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anjar, Gujarat , India",BHARAT?????,BharatGajjarGB,https://m.facebook.com/bharat.gajjar.353,True,0.0,1.0,0.0,0.0
3,shame on u @BJP4India #unconstitutional #KarnatakaVerdict the common man is not blind @narendramodi #shatteredhopesof2014,English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,Ayush Gupta,sagariph,,False,0.537,0.463,0.0,-0.7003
4,"RT @dhirendpatel1: ?? ??? ?? logic ????-
?? 10 ??? ?? ????? 2 subject ??? ????? ??? ????? ??? ????? ????? ??? ?? ???? sub ?? ???? ??? ????…",Hindi,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",New Delhi,Shahbaz Faiz,ShahbazFaiz,,False,0.0,1.0,0.0,0.0
5,"RT @BulletinNewz: ???????? ?? ???? ???????? ?? ?????? ???? ??? ?? ?????? ?????, ?? ???? ??????? 8 ?????? ?
#KarnatakaVerdict #BJP #Congress…",Hindi,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","New Delhi, India",Mohd. Shuaib,mohdshuaib00,,False,0.0,1.0,0.0,0.0
6,"RT @LambaAlka: M - Murderer 
O - Of 
D - Democracy 
I - In-India 

#KarnatakaVerdict
#ManipurVerdict 
#GoaVerdict 
#Uttrakhand 
#ArunachalP…",English,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Etawah Gurgaon Noida Bangalore,Satyamev Jayate,pp4aap,,True,0.365,0.635,0.0,-0.6808
7,"RT @JagratiShukla29: ?? ??????? CM ?? ?????? ??, #Congress ?? #JDS ??? ?? ??? ??? ?? ......?? ??? #BJP ?? ???? ???? ?? ?????? ??? ???

Via…",Hindi,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",Udaipur,Kr. Ratan Singh Suratpura,Kr_RatanSinghs,,True,0.0,1.0,0.0,0.0
8,"RT @Misandry_Kills: #Race3Trailer
#KarnatakaVerdict

#FeminismIsMisandry ideology of #FeministMafia will help dem lose their own #Sons due…",English,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Monk,Monkfights,,True,0.218,0.565,0.218,0.0
9,RT @just_kashyap: Since congress offered CM post to JDS but now BJP have it and after BJP proving their numbers in house will Congress offe…,English,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mumbai, India",Mumbai High,HighMumbai,,False,0.0,1.0,0.0,0.0
